[2024-11-20 19:08:22,081] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,085] INFO [Broker id=0] Leader quereq-0 with topic id Some(kk6HwmRkSGG_vISWatidbQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,088] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,092] INFO [Broker id=0] Leader ExpressDeliveryRequest-1 with topic id Some(CKZjvGrvSqKk5OpUHHWtbg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,096] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,099] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,102] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,105] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,108] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,110] INFO [Broker id=0] Leader ExpressDeliveryReply-0 with topic id Some(OjOA9vrrQ-aRwS2eWeUnOw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,113] INFO [Broker id=0] Leader ExpressDeliveryRequest-2 with topic id Some(CKZjvGrvSqKk5OpUHHWtbg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,116] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,119] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,123] INFO [Broker id=0] Leader first_topic-2 with topic id Some(Qzm67w1mRoCPiL1JcDa2uw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,127] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,130] INFO [Broker id=0] Leader InternationalDeliveryRequest-0 with topic id Some(XbNw7CvLSOOOYrlle3FtcA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,133] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,136] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,139] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,142] INFO [Broker id=0] Leader ExpressDeliveryReply-1 with topic id Some(OjOA9vrrQ-aRwS2eWeUnOw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,145] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,147] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,149] INFO [Broker id=0] Leader memDuereq-0 with topic id Some(XwA1Q9IzTjiMtdQbXVRUrw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,152] INFO [Broker id=0] Leader InternationalDeliveryRequest-1 with topic id Some(XbNw7CvLSOOOYrlle3FtcA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,156] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,159] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,161] INFO [Broker id=0] Leader testreq-0 with topic id Some(tk696L2dTpKxAct4ME21pw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,164] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,166] INFO [Broker id=0] Leader testrep-0 with topic id Some(pDngU53TTcGfVkHhKrQAQg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,169] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,173] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,176] INFO [Broker id=0] Leader ExpressDeliveryReply-2 with topic id Some(OjOA9vrrQ-aRwS2eWeUnOw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,180] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,183] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,187] INFO [Broker id=0] Leader authreq-0 with topic id Some(IbTsdcouR2SByjv42Puh_g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
